look,смотреть
sauce,соус
sausage,колбасит
ceiling,потолок
chose,выбрал
forgotten,забыли
whip,хлыст
script,сценарий
elephant,слон
management,управление
statement,заявление
worthless,негоже
determined,определены
burden,бремя
necessarily,обязательно
sensible,разумный
attend,участие
insist,настаивать
September,Сентября
session,сессии
settlement,поселение
severe,тяжелые
stomach,желудок
likely,скорее всего
numerous,многочисленные
interrupt,прерывание
virgin,Девы
mysterious,таинственный
dessert,десерт
tax,налог
taxi,такси
overnight,ночь
telly,телек
surgeon,хирург
matt,Мэтт
bizarre,странно
zone,зоны
undertake,провести
hint,подсказка
unlike,в отличие от
orange,"Оранжевый, Апельсин"
twins,Близнецы
challenge,вызов
vast,огромное
convicted,осужден
dancer,танцор
rug,ковер
transfer,перевод
wake,разбудить
tea,чай
leader,лидер
zero,ноль
comfort,комфорт
downtown,центр города
bay,залив
website,сайт
western,западные
whatsoever,вообще
familiar,знакомы
niece,племянница
council,совет
workshop,мастерская
kilometre,километр
comparable,сравним
penny,копейки
link,ссылка
production,производство
pro,про
debt,долг
tongue,язык
funeral,похороны
crush,давка
movement,движение
mouse,мышь
imply,подразумевает
creative,творческий
absorb,поглощать
dish,блюдо
programme,программы
giant,гигант
Monday,понедельник
imagination,воображение
prefer,предпочитаю
affect,влияет
kidnapping,похищение
praise,хвала
vision,видение
pleasant,приятным
frequent,частые
fairy,фея
literature,литература
phase,фаза
cooper,Бондарь
bout,запой
worrying,волноваться
covering,покрытие
progress,прогресс
Tuesday,вторник
slide,слайд
freezing,замораживание
regular,регулярные
achievement,достижение
fortunate,повезло
china,Китай
filthy,поганые
deck,палуба
cheer,ура
package,пакет
smoking,курение
leadership,руководство
spoon,ложка
con,кон
administration,администрация
strict,строгий
gloves,перчатки
freedom,свобода
pool,бассейн
supper,ужин
mistaken,ошибаются
technology,технология
text,текст
agriculture,сельское хозяйство
no way,ни за что
seventeen,семнадцать
bum,бомж
naturally,естественно
sexual,сексуальные
swing,качели
plastic,пластик
harmony,гармония
mutual,взаимное
rolling,прокатки
useful,полезным
shift,сдвиг
pink,розовый
county,округ
structure,структура
youth,молодежь
pickles,соленья
therefore,поэтому
whom,кому
nonresident,иногородним
pause,пауза
rotten,гнилой
potential,потенциал
bracket,кронштейн
darn,штопать
fridge,холодильник
therapist,терапевт
theatre,театр
assault,нападение
underneath,под
national,Национальный
publish,опубликовать
pigeon,голубь
ambulance,скорой помощи
highest,высокий
